link,title,district,description,price
https://www.list.am/item/19900779,"Աջափնյակ, 4 սեն., 80 ք.մ., 4/4 հարկ",Աջափնյակ,"4 սենյականոց բնակարան, Shinararner Street, 80 ք.մ., կապիտալ վերանորոգված, քարե շենք",155000
https://www.list.am/item/20203076,"Աջափնյակ, 2 սեն., 70 ք.մ., 5/7 հարկ",Աջափնյակ,"2 սենյականոց բնակարան նորակառույց շենքում, Նորաշեն թաղամաս, 70 ք.մ., մի քանի պատշգամբ, 5/7 հարկ",105000
https://www.list.am/item/18887722,"Աջափնյակ, 3 սեն., 79 ք.մ., 15/16 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, 16 թաղամաս, 79 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգված",120000
https://www.list.am/item/20526456,"Աջափնյակ, 3 սեն., 80 ք.մ., 5/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Լենինգրադյան փողոցում, 80 ք.մ., կապիտալ վերանորոգված, քարե շենք",100000
https://www.list.am/item/18736602,"Աջափնյակ, 2 սեն., 72 ք.մ., 3/13 հարկ",Աջափնյակ,"2 սենյականոց բնակարան նորակառույց շենքում Մոնթե Մելքոնյան փողոցում, 72 ք.մ., բարձր առաստաղներ",132000
https://www.list.am/item/19499263,"Աջափնյակ, 3 սեն., 80 ք.մ., 14/15 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Անաստաս Միկոյանի փողոցում, 80 ք.մ., 2 սանհանգույց",176000
https://www.list.am/item/20860184,"Աջափնյակ, 2 սեն., 70 ք.մ., 5/12 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Շինարարների փողոցում, 70 ք.մ., 5/12 հարկ, կապիտալ վերանորոգված",130000
https://www.list.am/item/19610071,"Աջափնյակ, 3 սեն., 77 ք.մ., 3/4 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Լենինգրադյան փողոցում, 77 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգված",145000
https://www.list.am/item/20407188,"Աջափնյակ, 3 սեն., 77 ք.մ., 2/12 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Արզումանյան փողոցում, 77 ք.մ., 2/12 հարկ, բարձր առաստաղներ",165000
https://www.list.am/item/20544906,"Աջափնյակ, 3 սեն., 75 ք.մ., 10/16 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Բաշինջաղյան փողոց 2-րդ նրբանցք, 75 ք.մ., 2 սանհանգույց, մի քանի պատշգամբ",107000
https://www.list.am/item/20073933,"Աջափնյակ, 3 սեն., 70 ք.մ., 1/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Լենինգրադյան փողոցում, 70 ք.մ., 1/5 հարկ, կապիտալ վերանորոգված, քարե շենք",95000
https://www.list.am/item/17673273,"Աջափնյակ, 3 սեն., 75 ք.մ., 5/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Մարգարյան փողոցում, 75 ք.մ., բարձր առաստաղներ, կապիտալ վերանորոգված, քարե շենք",107000
https://www.list.am/item/19816429,"Աջափնյակ, 3 սեն., 80 ք.մ., 7/14 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Հալաբյան փողոցում, 80 ք.մ., 7/14 հարկ, կապիտալ վերանորոգված",149000
https://www.list.am/item/20109983,"Աջափնյակ, 2 սեն., 71 ք.մ., 4/17 հարկ",Աջափնյակ,"2 սենյականոց բնակարան նորակառույց շենքում Մոնթե Մելքոնյան փողոցում, 71 ք.մ., 4/17 հարկ",137000
https://www.list.am/item/20903225,"Աջափնյակ, 3 սեն., 73 ք.մ., 1/4 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Արզումանյան փողոցում, 73 ք.մ., 1/4 հարկ, կապիտալ վերանորոգված, քարե շենք",108000
https://www.list.am/item/20793551,"Աջափնյակ, 2 սեն., 75 ք.մ., 9/14 հարկ",Աջափնյակ,"2 սենյականոց բնակարան, Shiraz St, 75 ք.մ., 9/14 հարկ, կապիտալ վերանորոգված",91250
https://www.list.am/item/20571192,"Աջափնյակ, 3 սեն., 74 ք.մ., 7/12 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Շինարարների փողոցում, 74 ք.մ., բարձր առաստաղներ, 7/12 հարկ",135000
https://www.list.am/item/20820277,"Աջափնյակ, 3 սեն., 80 ք.մ., 6/13 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Շինարարների փողոցում, 80 ք.մ., 6/13 հարկ, բարձր առաստաղներ",225000
https://www.list.am/item/19975917,"Աջափնյակ, 4 սեն., 73 ք.մ., 4/4 հարկ",Աջափնյակ,"4 սենյականոց բնակարան Շինարարների փողոցում, 73 ք.մ., կապիտալ վերանորոգված, քարե շենք",168000
https://www.list.am/item/20323037,"Աջափնյակ, 3 սեն., 78 ք.մ., 4/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Բաշինջաղյան փողոցում, 78 ք.մ., բարձր առաստաղներ, նախավերջին հարկ",130000
https://www.list.am/item/18670747,"Աջափնյակ, 3 սեն., 77 ք.մ., 9/12 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Արզումանյան փողոցում, 77 ք.մ., 9/12 հարկ",240000
https://www.list.am/item/20428707,"Արաբկիր, 2 սեն., 77 ք.մ., 6/11 հարկ",Արաբկիր,"2 սենյականոց բնակարան նորակառույց շենքում Գրիբոյեդով փողոցում, 77 ք.մ., 6/11 հարկ, բարձր առաստաղներ",130000
https://www.list.am/item/20286426,"Արաբկիր, 3 սեն., 80 ք.մ., 14/14 հարկ",Արաբկիր,"3 սենյականոց բնակարան նորակառույց շենքում Հովսեփ Արղության փողոցում, 80 ք.մ., 2 սանհանգույց",219000
https://www.list.am/item/20914704,"Արաբկիր, 3 սեն., 80 ք.մ., 5/5 հարկ",Արաբկիր,"3 սենյականոց բնակարան Գյուլբենկյան փողոցում, 80 ք.մ., մի քանի պատշգամբ, կապիտալ վերանորոգված",165000
https://www.list.am/item/18231392,"Արաբկիր, 2 սեն., 72 ք.մ., 4/5 հարկ",Արաբկիր,"2 սենյականոց բնակարան Ազատության պողոտայում, 72 ք.մ., նախավերջին հարկ, բարձր առաստաղներ",122000
https://www.list.am/item/19423742,"Արաբկիր, 3 սեն., 80 ք.մ., 2/5 հարկ",Արաբկիր,"3 սենյականոց բնակարան Վրացական փողոցում, 80 ք.մ., 2/5 հարկ, կապիտալ վերանորոգված, քարե շենք",152000
https://www.list.am/item/20128355,"Արաբկիր, 3 սեն., 74 ք.մ., 4/14 հարկ",Արաբկիր,"3 սենյականոց բնակարան Գյուլբենկյան փողոցում, 74 ք.մ., մի քանի պատշգամբ, 4/14 հարկ",165000
https://www.list.am/item/18498476,"Արաբկիր, 2 սեն., 70 ք.մ., 3/16 հարկ",Արաբկիր,"2 սենյականոց բնակարան նորակառույց շենքում, Mamikonyants St, 70 ք.մ., բարձր առաստաղներ, 3/16 հարկ",135000
https://www.list.am/item/20528708,"Արաբկիր, 3 սեն., 75 ք.մ., 5/9 հարկ",Արաբկիր,"3 սենյականոց բնակարան Արաբկիրի 19-րդ փողոցում, 75 ք.մ., 5/9 հարկ, կապիտալ վերանորոգված",140000
https://www.list.am/item/20884960,"Արաբկիր, 3 սեն., 80 ք.մ., 2/9 հարկ",Արաբկիր,"3 սենյականոց բնակարան Բաբայան փողոցում, 80 ք.մ., 2/9 հարկ, կապիտալ վերանորոգված",132000
https://www.list.am/item/20547380,"Արաբկիր, 3 սեն., 80 ք.մ., 2/5 հարկ",Արաբկիր,"3 սենյականոց բնակարան Կոմիտասի պողոտայում, 80 ք.մ., 2/5 հարկ, բարձր առաստաղներ, կապիտալ վերանորոգված",147000
https://www.list.am/item/19541610,"Արաբկիր, 3 սեն., 71 ք.մ., 5/5 հարկ",Արաբկիր,"3 սենյականոց բնակարան Վահրամ Փափազյան փողոցում, 71 ք.մ., 2 սանհանգույց, մի քանի պատշգամբ",135000
https://www.list.am/item/19962509,"Արաբկիր, 3 սեն., 75 ք.մ., 3/5 հարկ",Արաբկիր,"3 սենյականոց բնակարան Կոմիտասի պողոտայում, 75 ք.մ., բարձր առաստաղներ, 3/5 հարկ, կապիտալ վերանորոգված",165000
